,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,40487,9948,9252,24044,16443,20588,20571,20378,15323,696,18711,193,3456,8780,3727,1120,336,1667,1087,11596,1094,7504,5488,183,3608,3017,1162,3359,17
1,9948,24044,24044,696,696,696,696,696,696,193,193,8780,8780,3727,1667,1667,1667,11596,11596,7504,7504,1162,1162,1162,1162,1162,17,17,472
2,0,16443,16443,16443,20588,15323,15323,15323,18711,18711,3456,3456,1120,1120,1120,336,1087,1087,1094,1094,183,183,183,3608,3359,3359,3359,11207,11207
3,0,0,696,8780,8780,8780,8780,193,193,8780,8780,3727,3727,7504,7504,7504,7504,7504,7504,1162,1162,17,17,17,17,17,33,33,33
4,0,0,0,472,472,472,472,472,1667,1667,1667,1667,1667,1667,11596,11596,11596,472,472,472,472,472,472,472,472,472,472,472,157
5,0,0,0,0,3456,3456,3456,3456,3456,3456,336,336,336,336,336,3608,3608,3608,3608,3608,3608,3608,3608,11207,11207,11207,11207,360,360
6,0,0,0,0,0,1120,1120,1120,1120,1120,1120,1120,183,183,183,183,183,183,183,183,3359,3359,3359,3359,43,43,43,43,43
7,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,219,219,219,219,219,219,219,219
8,0,0,0,0,0,0,0,8780,8780,3727,3727,7504,7504,1162,1162,1162,1162,1162,1162,33,33,33,33,33,33,33,805,805,805
9,0,0,0,0,0,0,0,0,472,472,472,472,472,472,472,472,472,157,157,157,157,157,157,157,157,157,157,157,573
10,0,0,0,0,0,0,0,0,0,11596,11596,11596,11596,11596,214,214,214,214,214,214,8237,8237,8237,8237,8237,8237,8237,8237,8237
11,0,0,0,0,0,0,0,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,2016,2016
12,0,0,0,0,0,0,0,0,0,0,0,11207,11207,11207,11207,11207,11207,11207,11207,11207,11207,11207,11207,2406,2406,2406,2406,2406,2406
13,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
14,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,349
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8566,8566,8566,8566,8566,8566,8566,8566,8566,8566,8566,8566,8566,8566,8566
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119,119,119,119,119,119,119,119,119,119,119,119,119
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,805,805,805,805,805,805,805,2862,2862,2862
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179,179,179,179,179,179,179,179,179,179,179
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,573,573,573,573,573,573,573,573,573,3010
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,282,282,282,282,282,282,282,282,282
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214,214,214,214,214,214,214,214
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,875,875,875,875,875,875,875
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,2016,2016,2016,719,719
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082,3082,3082,3082,3082,3082
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,140,140,140
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,591,591,591
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,155,155
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,443
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294
